,title,artist,top genre,language,pop,Link
0,muskurane,arijit singh,sad,hindi,80,https://www.youtube.com/results?search_query=muskurane+song
1,pachtaoge,arijit singh,sad,hindi,75,https://www.youtube.com/results?search_query=pachtaoge+song
2,hamari adhuri kahaani,arijit singh,sad,hindi,77,https://www.youtube.com/results?search_query=hamari+adhuri+kahaani+song
3,kesariya,arijit singh,happy,hindi,82,https://www.youtube.com/results?search_query=kesariya+song
4,tum hi ho,arijit singh,happy,hindi,75,https://www.youtube.com/results?search_query=tum+hi+ho+song
5,apna bana le,arijit singh,happy,hindi,80,https://www.youtube.com/results?search_query=apna+bana+le+song
6,aa raat bhar,arijit singh,party,hindi,82,https://www.youtube.com/results?search_query=aa+raat+bhar+song
7,sooraj dooba hai,arijit singh,party,hindi,85,https://www.youtube.com/results?search_query=sooraj+dooba+hai+song
8,dilliwali girlfriend,arijit singh,party,hindi,75,https://www.youtube.com/results?search_query=dilliwali+girlfriend+song
9,aadat,atif aslam,sad,hindi,77,https://www.youtube.com/results?search_query=aadat+song
10,tu jaane na,atif aslam,sad,hindi,78,https://www.youtube.com/results?search_query=tu+jaane+na+song
11,hona tha pyaar,atif aslam,sad,hindi,70,https://www.youtube.com/results?search_query=hona+tha+pyaar+song
12,pehli nazar mein,atif aslam,happy,hindi,72,https://www.youtube.com/results?search_query=pehli+nazar+mein+song
13,pehli dafa,atif aslam,happy,hindi,75,https://www.youtube.com/results?search_query=pehli+dafa+song
14,dil diyan gallan,atif aslam,happy,hindi,80,https://www.youtube.com/results?search_query=dil+diyan+gallan+song
15,zindagi aa raha hoon main,atif aslam,party,hindi,75,https://www.youtube.com/results?search_query=zindagi+aa+raha+hoon+main+song
16,jab koi baat,atif aslam,party,hindi,78,https://www.youtube.com/results?search_query=jab+koi+baat+song
17,tere liye,atif aslam,party,hindi,77,https://www.youtube.com/results?search_query=tere+liye+song
18,main rahoon yaa na rahoon,armaan malik,sad,hindi,78,https://www.youtube.com/results?search_query=main+rahoon+yaa+na+rahoon+song
19,bol do na zara,armaan malik,sad,hindi,78,https://www.youtube.com/results?search_query=bol+do+na+zara+song
20,main hoon hero tera,armaan malik,sad,hindi,75,https://www.youtube.com/results?search_query=main+hoon+hero+tera+song
21,ghar se nikalte hi,armaan malik,happy,hindi,77,https://www.youtube.com/results?search_query=ghar+se+nikalte+hi+song
22,hua hai aaj pehli baar,armaan malik,happy,hindi,78,https://www.youtube.com/results?search_query=hua+hai+aaj+pehli+baar+song
23,dil mein chupa lunga,armaan malik,happy,hindi,75,https://www.youtube.com/results?search_query=dil+mein+chupa+lunga+song
24,sau aasmaan,armaan malik,party,hindi,80,https://www.youtube.com/results?search_query=sau+aasmaan+song
25,sab tera,armaan malik,party,hindi,75,https://www.youtube.com/results?search_query=sab+tera+song
26,tumhe apna banane,armaan malik,party,hindi,72,https://www.youtube.com/results?search_query=tumhe+apna+banane+song
27,tanha dil,shaan,sad,hindi,82,https://www.youtube.com/results?search_query=tanha+dil+song
28,chaar kadam,shaan,sad,hindi,80,https://www.youtube.com/results?search_query=chaar+kadam+song
29,musu musu,shaan,sad,hindi,77,https://www.youtube.com/results?search_query=musu+musu+song
30,chand sifarish,shaan,happy,hindi,70,https://www.youtube.com/results?search_query=chand+sifarish+song
31,hey shona,shaan,happy,hindi,82,https://www.youtube.com/results?search_query=hey+shona+song
32,woh pehli baar,shaan,happy,hindi,85,https://www.youtube.com/results?search_query=woh+pehli+baar+song
33,its the time to disco,shaan,party,hindi,80,https://www.youtube.com/results?search_query=its+the+time+to+disco+song
34,where's the party tonight,shaan,party,hindi,82,https://www.youtube.com/results?search_query=where's+the+party+tonight+song
35,koi kahe kehta rahe,shaan,party,hindi,85,https://www.youtube.com/results?search_query=koi+kahe+kehta+rahe+song
36,kal ho na ho,sonu nigam,sad,hindi,82,https://www.youtube.com/results?search_query=kal+ho+na+ho+song
37,tanhayee,sonu nigam,sad,hindi,78,https://www.youtube.com/results?search_query=tanhayee+song
38,sau dard,sonu nigam,sad,hindi,80,https://www.youtube.com/results?search_query=sau+dard+song
39,bole chudiyan,sonu nigam,happy,hindi,78,https://www.youtube.com/results?search_query=bole+chudiyan+song
40,saathiya,sonu nigam,happy,hindi,80,https://www.youtube.com/results?search_query=saathiya+song
41,suraj hua madham,sonu nigam,happy,hindi,75,https://www.youtube.com/results?search_query=suraj+hua+madham+song
42,maahi ve,sonu nigam,party,hindi,78,https://www.youtube.com/results?search_query=maahi+ve+song
43,you are my soniya,sonu nigam,party,hindi,81,https://www.youtube.com/results?search_query=you+are+my+soniya+song
44,yeh dil deewana,sonu nigam,party,hindi,79,https://www.youtube.com/results?search_query=yeh+dil+deewana+song
45,main yahaan hoon,udit narayan,sad,hindi,77,https://www.youtube.com/results?search_query=main+yahaan+hoon+song
46,ae ajnabi,udit narayan,sad,hindi,85,https://www.youtube.com/results?search_query=ae+ajnabi+song
47,dil ne ye kaha hai dil se,udit narayan,sad,hindi,79,https://www.youtube.com/results?search_query=dil+ne+ye+kaha+hai+dil+se+song
48,jadoo teri nazar,udit narayan,happy,hindi,79,https://www.youtube.com/results?search_query=jadoo+teri+nazar+song
49,pyar kar,udit narayan,happy,hindi,75,https://www.youtube.com/results?search_query=pyar+kar+song
50,agar main kahoon,udit narayan,happy,hindi,72,https://www.youtube.com/results?search_query=agar+main+kahoon+song
51,papa kehte hai,udit narayan,party,hindi,72,https://www.youtube.com/results?search_query=papa+kehte+hai+song
52,koi mil gaya,udit narayan,party,hindi,80,https://www.youtube.com/results?search_query=koi+mil+gaya+song
53,too cheez badi hai,udit narayan,party,hindi,80,https://www.youtube.com/results?search_query=too+cheez+badi+hai+song
54,tere bina zindagi se koi,lata mangeshkar,sad,hindi,85,https://www.youtube.com/results?search_query=tere+bina+zindagi+se+koi+song
55,ajeeb daastaan hai ye,lata mangeshkar,sad,hindi,80,https://www.youtube.com/results?search_query=ajeeb+daastaan+hai+ye+song
56,yaad aa rahi hai,lata mangeshkar,sad,hindi,78,https://www.youtube.com/results?search_query=yaad+aa+rahi+hai+song
57,rangeela re,lata mangeshkar,happy,hindi,83,https://www.youtube.com/results?search_query=rangeela+re+song
58,dekha ek khwaab,lata mangeshkar,happy,hindi,85,https://www.youtube.com/results?search_query=dekha+ek+khwaab+song
59,zindagi pyaar ka geet hai,lata mangeshkar,happy,hindi,83,https://www.youtube.com/results?search_query=zindagi+pyaar+ka+geet+hai+song
60,mere khwaabon mei jo aaye,lata mangeshkar,party,hindi,79,https://www.youtube.com/results?search_query=mere+khwaabon+mei+jo+aaye+song
61,do ghoont mujhe bhi pila de,lata mangeshkar,party,hindi,82,https://www.youtube.com/results?search_query=do+ghoont+mujhe+bhi+pila+de+song
62,wah wah ramji,lata mangeshkar,party,hindi,77,https://www.youtube.com/results?search_query=wah+wah+ramji+song
63,tujhe yaad na meri aaye,alka yagnik,sad,hindi,85,https://www.youtube.com/results?search_query=tujhe+yaad+na+meri+aaye+song
64,pehli pehli baar,alka yagnik,sad,hindi,72,https://www.youtube.com/results?search_query=pehli+pehli+baar+song
65,mera dil bhi kitna pagal hai,alka yagnik,sad,hindi,79,https://www.youtube.com/results?search_query=mera+dil+bhi+kitna+pagal+hai+song
66,chura ke dil mera,alka yagnik,happy,hindi,80,https://www.youtube.com/results?search_query=chura+ke+dil+mera+song
67,ae mere humsafar,alka yagnik,happy,hindi,80,https://www.youtube.com/results?search_query=ae+mere+humsafar+song
68,waada raha sanam,alka yagnik,happy,hindi,72,https://www.youtube.com/results?search_query=waada+raha+sanam+song
69,aisi deewangi,alka yagnik,party,hindi,80,https://www.youtube.com/results?search_query=aisi+deewangi+song
70,baazigar o baazigar,alka yagnik,party,hindi,72,https://www.youtube.com/results?search_query=baazigar+o+baazigar+song
71,ladki badi anjaani hai,alka yagnik,party,hindi,78,https://www.youtube.com/results?search_query=ladki+badi+anjaani+hai+song
72,dhadak title song,shreya goshal,sad,hindi,78,https://www.youtube.com/results?search_query=dhadak+title+song+song
73,piku the journey song,shreya goshal,sad,hindi,78,https://www.youtube.com/results?search_query=piku+the+journey+song+song
74,agar tum mil jao,shreya goshal,sad,hindi,78,https://www.youtube.com/results?search_query=agar+tum+mil+jao+song
75,radha,shreya goshal,happy,hindi,78,https://www.youtube.com/results?search_query=radha+song
76,bahara,shreya goshal,happy,hindi,72,https://www.youtube.com/results?search_query=bahara+song
77,deewani mastani,shreya goshal,happy,hindi,82,https://www.youtube.com/results?search_query=deewani+mastani+song
78,aa raat bhar,shreya goshal,party,hindi,85,https://www.youtube.com/results?search_query=aa+raat+bhar+song
79,ye ishq hai,shreya goshal,party,hindi,72,https://www.youtube.com/results?search_query=ye+ishq+hai+song
80,chikni chameli,shreya goshal,party,hindi,79,https://www.youtube.com/results?search_query=chikni+chameli+song
81,supermarket flowers,ed sheeran,sad,english,80,https://www.youtube.com/results?search_query=supermarket+flowers+song
82,small bump,ed sheeran,sad,english,80,https://www.youtube.com/results?search_query=small+bump+song
83,afire love,ed sheeran,sad,english,80,https://www.youtube.com/results?search_query=afire+love+song
84,perfect,ed sheeran,happy,english,72,https://www.youtube.com/results?search_query=perfect+song
85,happier,ed sheeran,happy,english,80,https://www.youtube.com/results?search_query=happier+song
86,thinking out loud,ed sheeran,happy,english,72,https://www.youtube.com/results?search_query=thinking+out+loud+song
87,shape of you,ed sheeran,party,english,85,https://www.youtube.com/results?search_query=shape+of+you+song
88,i don't care ,ed sheeran,party,english,79,https://www.youtube.com/results?search_query=i+don't+care++song
89,kiss me,ed sheeran,party,english,72,https://www.youtube.com/results?search_query=kiss+me+song
90,mocking bird,eminem,sad,english,80,https://www.youtube.com/results?search_query=mocking+bird+song
91,rock bottom,eminem,sad,english,75,https://www.youtube.com/results?search_query=rock+bottom+song
92,stronger than i was,eminem,sad,english,77,https://www.youtube.com/results?search_query=stronger+than+i+was+song
93,be happy,eminem,happy,english,82,https://www.youtube.com/results?search_query=be+happy+song
94,beautiful,eminem,happy,english,75,https://www.youtube.com/results?search_query=beautiful+song
95,when i m gone,eminem,happy,english,80,https://www.youtube.com/results?search_query=when+i+m+gone+song
96,love yourself,eminem,party,english,82,https://www.youtube.com/results?search_query=love+yourself+song
97,white trash party,eminem,party,english,85,https://www.youtube.com/results?search_query=white+trash+party+song
98,the real slim shady,eminem,party,english,75,https://www.youtube.com/results?search_query=the+real+slim+shady+song
99,last dance,dua lipa,sad,english,77,https://www.youtube.com/results?search_query=last+dance+song
100,home sick,dua lipa,sad,english,78,https://www.youtube.com/results?search_query=home+sick+song
101,new love,dua lipa,sad,english,70,https://www.youtube.com/results?search_query=new+love+song
102,no lie,dua lipa,happy,english,72,https://www.youtube.com/results?search_query=no+lie+song
103,don't start now,dua lipa,happy,english,75,https://www.youtube.com/results?search_query=don't+start+now+song
104,sweetest pie,dua lipa,happy,english,80,https://www.youtube.com/results?search_query=sweetest+pie+song
105,new rules,dua lipa,party,english,75,https://www.youtube.com/results?search_query=new+rules+song
106,levitating,dua lipa,party,english,78,https://www.youtube.com/results?search_query=levitating+song
107,electricity,dua lipa,party,english,77,https://www.youtube.com/results?search_query=electricity+song
108,deserve you,justin bieber,sad,english,78,https://www.youtube.com/results?search_query=deserve+you+song
109,2 much,justin bieber,sad,english,78,https://www.youtube.com/results?search_query=2+much+song
110,ghost,justin bieber,sad,english,75,https://www.youtube.com/results?search_query=ghost+song
111,holy,justin bieber,happy,english,77,https://www.youtube.com/results?search_query=holy+song
112,all around me,justin bieber,happy,english,78,https://www.youtube.com/results?search_query=all+around+me+song
113,forever,justin bieber,happy,english,75,https://www.youtube.com/results?search_query=forever+song
114,i don't care,justin bieber,party,english,80,https://www.youtube.com/results?search_query=i+don't+care+song
115,let me love you,justin bieber,party,english,75,https://www.youtube.com/results?search_query=let+me+love+you+song
116,sorry,justin bieber,party,english,72,https://www.youtube.com/results?search_query=sorry+song
117,i'll never love again,lady gaga,sad,english,82,https://www.youtube.com/results?search_query=i'll+never+love+again+song
118,shallow,lady gaga,sad,english,80,https://www.youtube.com/results?search_query=shallow+song
119,million reasons,lady gaga,sad,english,77,https://www.youtube.com/results?search_query=million+reasons+song
120,just dance,lady gaga,happy,english,70,https://www.youtube.com/results?search_query=just+dance+song
121,poker face,lady gaga,happy,english,82,https://www.youtube.com/results?search_query=poker+face+song
122,a-yo,lady gaga,happy,english,85,https://www.youtube.com/results?search_query=a-yo+song
123,telephone,lady gaga,party,english,80,https://www.youtube.com/results?search_query=telephone+song
124,bad romance,lady gaga,party,english,82,https://www.youtube.com/results?search_query=bad+romance+song
125,you and i,lady gaga,party,english,85,https://www.youtube.com/results?search_query=you+and+i+song
126,love you to love me,selena gomez,sad,english,82,https://www.youtube.com/results?search_query=love+you+to+love+me+song
127,look at her now,selena gomez,sad,english,78,https://www.youtube.com/results?search_query=look+at+her+now+song
128,forget forever,selena gomez,sad,english,80,https://www.youtube.com/results?search_query=forget+forever+song
129,good for you,selena gomez,happy,english,78,https://www.youtube.com/results?search_query=good+for+you+song
130,the heart wants what it wants,selena gomez,happy,english,80,https://www.youtube.com/results?search_query=the+heart+wants+what+it+wants+song
131,come and get it,selena gomez,happy,english,75,https://www.youtube.com/results?search_query=come+and+get+it+song
132,dance again,selena gomez,party,english,78,https://www.youtube.com/results?search_query=dance+again+song
133,fetish,selena gomez,party,english,81,https://www.youtube.com/results?search_query=fetish+song
134,undercover,selena gomez,party,english,79,https://www.youtube.com/results?search_query=undercover+song
135,stay,rihanna,sad,english,77,https://www.youtube.com/results?search_query=stay+song
136,farewell,rihanna,sad,english,85,https://www.youtube.com/results?search_query=farewell+song
137,the last song,rihanna,sad,english,79,https://www.youtube.com/results?search_query=the+last+song+song
138,lift me up,rihanna,happy,english,79,https://www.youtube.com/results?search_query=lift+me+up+song
139,where have you been,rihanna,happy,english,75,https://www.youtube.com/results?search_query=where+have+you+been+song
140,man down,rihanna,happy,english,72,https://www.youtube.com/results?search_query=man+down+song
141,don't stop the music,rihanna,party,english,72,https://www.youtube.com/results?search_query=don't+stop+the+music+song
142,wild thoughts,rihanna,party,english,80,https://www.youtube.com/results?search_query=wild+thoughts+song
143,only girl,rihanna,party,english,80,https://www.youtube.com/results?search_query=only+girl+song
